time,Country,State,Population,MFRatio,0-14,15-65,65+
2016,Canada,New Brunswick,"747,100",0.950769057,110495,487820,148785
2016,Canada,Newfoundland and Labrador,"519,710",0.955378306,74440,344245,101025
2016,Canada,Nova Scotia,"923,595",0.937425925,133825,605950,183820
2016,Canada,Ontario,"13,448,490",0.952139647,2207970,8988865,2251655
2016,Canada,Prince Edward Island,"142,905",0.941580056,22685,92510,27710
2016,Canada,Quebec,"8,164,365",0.968452878,1333260,5335910,1495195
2016,Canada,Saskatchewan,"4,067,175",1.005742776,779155,2787805,500215
2018,US,Alabama,4874064,0.932820116,901598,3145572,826894
2018,US,Alaska,718003,1.052604195,154930,476062,87011
2018,US,Arizona,7152019,0.984846437,1364083,4529686,1258250
2018,US,Arkansas,3008566,0.962657805,584413,1912326,511827
2018,US,California,39400984,0.982969236,7478175,26253784,5669025
2018,US,Colorado,5659521,1.005628639,1050185,3801107,808229
2018,US,Connecticut,3565756,0.949841995,597042,2353593,615121
2018,US,Delaware,963754,0.93269923,168712,613956,181086
2018,US,District of Columbia,698300,0.895962358,111812,501185,85303
2018,US,Florida,21230824,0.952159153,3507017,13365736,4358071
2018,US,Georgia,10456145,0.938327163,2071076,6924660,1460409
2018,US,Hawaii,1375205,0.958894978,256527,857711,260967
2018,US,Idaho,1750670,1.001914241,370340,1102048,278282
2018,US,Illinois,12713360,0.963770821,2357869,8362530,1992961
2018,US,Indiana,6689037,0.972488814,1297240,4336776,1055021
2018,US,Iowa,3154344,0.990062131,607897,2006617,539830
2018,US,Kansas,2888772,0.981340051,587402,1839129,462241
2018,US,Kentucky,4451683,0.966136496,837926,2883131,730626
2018,US,Louisiana,4644049,0.949029063,915944,3009672,718433
2018,US,Maine,1337036,0.957902567,205113,855924,275999
2018,US,Maryland,6008434,0.933985309,1113454,3963844,931136
2018,US,Massachusetts,6897212,0.942461316,1119313,4638799,1139100
2018,US,Michigan,9992207,0.969586563,1778233,6497370,1716604
2018,US,Minnesota,5609041,0.991833507,1086377,3632862,889802
2018,US,Mississippi,2973020,0.934785226,585371,1913174,474475
2018,US,Missouri,6107645,0.960261319,1142600,3931081,1033964
2018,US,Montana,1058744,1.009619655,191343,668499,198902
2018,US,Nebraska,1922659,0.993090844,398790,1220203,303666
2018,US,Nevada,3023564,1.001277455,574624,1972759,476181
2018,US,New Hampshire,1355151,0.981122228,209494,900012,245645
2018,US,New Jersey,8899152,0.953787427,1610804,5849821,1438527
2018,US,New Mexico,2083774,0.972732815,399009,1318576,366189
2018,US,New York,19517264,0.941909079,3377638,12926092,3213534
2018,US,North Carolina,10286137,0.933051279,1902430,6694442,1689265
2018,US,North Dakota,752902,1.037392231,152549,483716,116637
2018,US,Ohio,11680680,0.960887277,2140724,7544934,1995022
2018,US,Oklahoma,3923329,0.974657748,798336,2505440,619553
2018,US,Oregon,4188167,0.982235843,726003,2723473,738691
2018,US,Pennsylvania,12800721,0.959869792,2183844,8281247,2335630
2018,US,Rhode Island,1052881,0.941578259,168074,702553,182254
2018,US,South Carolina,5042969,0.929730663,918200,3224854,899915
2018,US,South Dakota,878777,1.014864254,183776,548147,146854
2018,US,Tennessee,6749342,0.948244951,1249028,4390617,1109697
2018,US,Texas,28587498,0.982627638,6163292,18821886,3602320
2018,US,Utah,3156270,1.012641059,778881,2026911,350478
2018,US,Vermont,625727,0.974132627,94714,409806,121207
2018,US,Virginia,8401660,0.952979681,1553743,5532516,1315401
2018,US,Washington,7483387,0.991745715,1392419,4926736,1164232
2018,US,West Virginia,1804861,0.980343169,300688,1144295,359878
2018,US,Wisconsin,5810500,0.98936926,1053529,3771498,985473
2018,US,Wyoming,574746,1.033138891,112863,366508,95375
